#,Type,Scenario Name,Problem Summary,Prerequisites,Tool Features,Success Criteria,Min Pass,Deliverables,Chain/Category
261,🆕 NEW,Import Multiple Files from Folder,"Monthly sales reports: 12 separate CSV files (Jan.csv, Feb.csv... Dec.csv) in folder. Manually combining wastes time. Power Query ""From Folder"" combines all files automatically, creating single consolidated table.","None - create folder with 12 CSV files (same structure: Date, Product, Amount)","Get Data > From Folder, Combine Files, binary combination, file metadata columns, Transform Sample File","12 criteria, 100 pts",85 pts,"Excel file with combined data from all files, Applied Steps showing folder import, documentation (250 words on folder import)",Excel Power Query - START
262,🔗 CONTINUES,Power Query Data Cleaning Pipeline,"Imported data messy: blank rows, wrong data types, extra spaces, inconsistent case. Create cleaning pipeline: Remove blank rows, Trim text, Proper case names, Convert types. Repeatable transformation.",Assignment #261 (imported data),"Remove Blank Rows, Trim, Change Case (Proper/Upper/Lower), Change Type, Replace Values, Remove Duplicates, transformation sequence","13 criteria, 100 pts",85 pts,"Excel file with cleaning pipeline, before/after comparison, Applied Steps pane screenshot, documentation (250 words)",Excel Power Query
263,🆕 NEW,Unpivot Columns - Wide to Long,"Sales data: one row per product with columns Jan, Feb, Mar... Dec (wide format). Analytics needs long format: Product, Month, Sales (each month as separate row). Unpivot transforms.",None - create wide format table,"Unpivot Columns, Unpivot Other Columns, selecting columns to unpivot, attribute/value naming","11 criteria, 100 pts",80 pts,"Excel file with unpivoted data, wide-to-long transformation, documentation (200 words on unpivot)",Excel Power Query
264,🆕 NEW,Pivot Columns - Long to Wide,"Long format: Product, Metric (Revenue/Cost/Profit), Value. Need wide: Product, Revenue, Cost, Profit columns. Pivot columns creates wide format.",None - create long format data,"Pivot Column, values column selection, advanced options (aggregation), pivot transformation","11 criteria, 100 pts",80 pts,"Excel file with pivoted data, long-to-wide transformation, documentation (200 words)",Excel Power Query
265,🆕 NEW,Merge Queries - Table Joins,"Two tables: Orders (OrderID, CustomerID, Amount) and Customers (CustomerID, Name, Region). Merge on CustomerID to get customer details in orders. Like VLOOKUP but more powerful.",None - create two related tables,"Merge Queries, join types (Left/Right/Inner/Full/Anti), matching columns, expand merged column","13 criteria, 100 pts",85 pts,"Excel file with merged queries, joined data, join type comparison, documentation (250 words on joins)",Excel Power Query
266,🆕 NEW,Append Queries - Stack Tables,"Q1, Q2, Q3, Q4 sales in separate tables (same columns). Append stacks all four vertically into one table. Union of tables.",None - create 4 quarterly tables,"Append Queries, Append Queries as New, stacking tables, handling column mismatches","10 criteria, 100 pts",80 pts,"Excel file with appended data, stacked result, documentation (150 words)",Excel Power Query
267,🆕 NEW,Custom Column with M Code,Need calculated field: Profit Margin % = (Revenue - Cost) / Revenue × 100. Add Custom Column with M formula. More flexible than UI.,None - create revenue/cost data,"Add Custom Column, M language basics, [ColumnName] references, arithmetic operators, if-then-else in M","11 criteria, 100 pts",80 pts,"Excel file with custom column, M formula, calculation verification, documentation (200 words on M language)",Excel Power Query
268,🆕 NEW,Conditional Column Creation,"Sales categorization: <$1000=Small, $1000-$5000=Medium, >$5000=Large. Add Conditional Column creates tiered categories without complex formula.",None - create sales data,"Add Conditional Column, if-then-else logic, multiple conditions, else clause","10 criteria, 100 pts",80 pts,"Excel file with conditional column, categorized data, documentation (150 words)",Excel Power Query
269,🆕 NEW,Split Column by Delimiter,"Full names in one column: ""Smith, John"". Split by comma into LastName and FirstName columns. Text parsing in Power Query.",None - create names with delimiter,"Split Column, by delimiter/by position/by character transition, split options (leftmost/each occurrence)","10 criteria, 100 pts",80 pts,"Excel file with split columns, parsed names, documentation (150 words)",Excel Power Query
270,🆕 NEW,Group By and Aggregate,"Transaction details table. Need summary: total sales per product, average price per category. Group By creates aggregated summary.",None - create transaction details,"Group By, aggregate functions (Sum, Average, Count, Min, Max), group columns, operation naming","11 criteria, 100 pts",80 pts,"Excel file with grouped data, aggregated summary, documentation (200 words)",Excel Power Query
