#,Type,Scenario Name,Problem Summary,Prerequisites,Tool Features,Success Criteria,Min Pass,Deliverables,Chain/Category
201,🆕 NEW,VLOOKUP - Price Lookup Table,"Order entry system: user enters product code, Excel automatically fills in product price from master price list. VLOOKUP searches product code in table, returns price from corresponding row. Eliminates manual price entry errors.","None - create products table (code, name, price) and order form","VLOOKUP(lookup_value, table_array, col_index_num, [range_lookup]), exact match (FALSE/0), lookup tables, #N/A error handling","10 criteria, 100 pts",80 pts,"Excel file with price list and VLOOKUP formula, automatic lookup demo screenshot, documentation (200 words on VLOOKUP)",Excel Advanced Formulas - START
202,🆕 NEW,VLOOKUP Approximate Match - Tax Brackets,"Income tax calculator: find tax rate based on income bracket. $0-$10k=10%, $10k-$50k=15%, $50k+=22%. VLOOKUP with approximate match (TRUE) finds correct bracket for any income amount.",None - create tax bracket table and income scenarios,"VLOOKUP approximate match (TRUE/1), sorted lookup table requirement, range lookups, bracket assignments","11 criteria, 100 pts",80 pts,"Excel file with tax brackets and approximate VLOOKUP, bracket assignment examples, documentation (200 words)",Excel Advanced Formulas
203,🆕 NEW,HLOOKUP - Horizontal Lookup,"Quarterly sales table organized horizontally: Q1, Q2, Q3, Q4 as columns. HLOOKUP searches horizontally for quarter, returns sales value. Like VLOOKUP but for horizontal tables.",None - create horizontal quarterly data table,"HLOOKUP(lookup_value, table_array, row_index_num, [range_lookup]), horizontal table lookups, when to use vs VLOOKUP","9 criteria, 100 pts",75 pts,"Excel file with horizontal table and HLOOKUP, quarter lookup demo, documentation (150 words)",Excel Advanced Formulas
204,🆕 NEW,INDEX-MATCH - Flexible Lookup,"VLOOKUP limitation: cannot look left. INDEX-MATCH combination overcomes this. INDEX returns value at position, MATCH finds position. More powerful and flexible than VLOOKUP.",None - create lookup scenario requiring left lookup,"INDEX(array, row_num, [col_num]), MATCH(lookup_value, lookup_array, [match_type]), combining INDEX-MATCH, advantages over VLOOKUP","12 criteria, 100 pts",85 pts,"Excel file with INDEX-MATCH examples, comparison to VLOOKUP, bi-directional lookup demo, documentation (250 words)",Excel Advanced Formulas
205,🆕 NEW,INDEX-MATCH Two-Way Lookup,"Salary matrix: rows=job levels (1-10), columns=years of experience (0-20). Find salary at intersection. INDEX with two MATCH functions: one for row, one for column. Powerful matrix lookups.",None - create 2D salary matrix,"INDEX with row and column numbers, two MATCH functions, 2D array lookups, matrix intersection retrieval","13 criteria, 100 pts",85 pts,"Excel file with salary matrix and two-way INDEX-MATCH, intersection lookup demo, documentation (200 words)",Excel Advanced Formulas
206,🆕 NEW,IFERROR with VLOOKUP,"VLOOKUP returns #N/A when product code not found (typo or new product). Wrap in IFERROR to show ""Product Not Found"" instead of error. User-friendly error handling.",None - create product lookup with some invalid codes,"IFERROR(VLOOKUP(...), ""Error Message""), combining functions, graceful error handling, user experience","9 criteria, 100 pts",75 pts,"Excel file with IFERROR-wrapped VLOOKUP, error handling demo, clean output screenshot, documentation (150 words)",Excel Advanced Formulas
207,🆕 NEW,SUMIFS - Multiple Criteria Sum,Sales analysis: sum sales where Region=East AND Product=Laptop AND Month=January. SUMIFS handles multiple AND conditions. More powerful than SUMIF.,"None - create sales data with region, product, month, amount columns","SUMIFS(sum_range, criteria_range1, criteria1, criteria_range2, criteria2, ...), multiple conditions (AND logic), exact vs wildcards","11 criteria, 100 pts",80 pts,"Excel file with sales data and SUMIFS examples, multi-criteria sum demo, documentation (200 words)",Excel Advanced Formulas
208,🆕 NEW,COUNTIFS - Complex Counting,Quality control: count defects where Severity=High AND Department=Manufacturing AND Date>LastMonth. COUNTIFS with multiple criteria including date comparisons.,None - create quality log data,"COUNTIFS(criteria_range1, criteria1, ...), multiple AND conditions, date criteria ("">=""&DATE(...)), mixed criteria types","10 criteria, 100 pts",80 pts,"Excel file with quality data and COUNTIFS, complex counting examples, documentation (150 words)",Excel Advanced Formulas
209,🆕 NEW,AVERAGEIFS - Conditional Averaging,Performance analysis: average test score where Grade=10 AND Subject=Math AND Term=Final. AVERAGEIFS filters then averages. Precise subset averaging.,None - create student test scores data,"AVERAGEIFS(average_range, criteria_range1, criteria1, ...), filtered averaging, handling blank cells","10 criteria, 100 pts",80 pts,"Excel file with test scores and AVERAGEIFS, conditional averages by various criteria, documentation (150 words)",Excel Advanced Formulas
210,🆕 NEW,Array Formulas - Ctrl+Shift+Enter,"Calculate total: Price × Quantity for each row, then sum all. Array formula {=SUM(A2:A10*B2:B10)} does both in one cell. Multiplies arrays element-wise then sums. Legacy Excel requires Ctrl+Shift+Enter.",None - create price and quantity data,"Array formulas, Ctrl+Shift+Enter (CSE), curly braces {}, element-wise operations, single-cell array results","11 criteria, 100 pts",80 pts,"Excel file with array formula, CSE demo, formula bar showing {}, documentation (200 words) - note Excel 365 difference",Excel Advanced Formulas
