#,Type,Scenario Name,Problem Summary,Prerequisites,Tool Features,Success Criteria,Min Pass,Deliverables,Chain/Category
151,🆕 NEW,Monthly Sales Summary Calculations,"Small retail store owner tracks daily sales in Excel. Manager needs quick summary showing: total monthly sales (SUM), average daily sales (AVERAGE), highest single-day sales (MAX), lowest single-day sales (MIN). All four metrics visible at bottom of sales column for quick dashboard view.",None - create sample data: 30 days of sales figures ($500-$5000),"SUM(), AVERAGE(), MIN(), MAX() functions, basic function syntax, cell references, currency formatting with $ symbol","8 criteria, 100 pts",75 pts,"Excel file with 30 days sales data + 4 summary formulas, formatted results screenshot, documentation (150 words explaining each function)",Excel Basics - START
152,🆕 NEW,Percentage of Total Calculations,"Sales team analyzing product contribution to total revenue. Each product row shows revenue, need column showing ""% of Total Revenue"". First product might be $50,000 of $200,000 total = 25%. Requires absolute reference to total so formula copies correctly to all rows.",None - create 10 products with revenue values,"Relative references (A1, B2), absolute references ($A$1), mixed references ($A1, A$1), understanding when to lock rows/columns, F4 key for cycling reference types","10 criteria, 100 pts",80 pts,"Excel file with products, revenue, percentage formulas using $, screenshot showing formula bar with absolute reference, documentation (200 words on reference types)",Excel Basics
153,🆕 NEW,Student Grade Pass/Fail System,"Teacher grading 30 students. Passing score is 60. Need ""Pass"" or ""Fail"" in Grade column based on score. Use IF function to automatically determine pass/fail status for quick grading.",None - create 30 students with scores 40-95,"IF(logical_test, value_if_true, value_if_false), logical tests with comparison operators (>=, >, <, <=, =), conditional logic","8 criteria, 100 pts",75 pts,"Excel file with students, scores, IF formula for pass/fail, results screenshot, documentation (150 words on IF function)",Excel Basics
154,🔗 CONTINUES,Letter Grade Assignment System,"Teacher needs letter grades: A (90+), B (80-89), C (70-79), D (60-69), F (<60). Single formula must handle all five grade levels using nested IF statements. Formula gets complex but handles all cases.",Assignment #153 (students with scores),"Nested IF statements, IF(test1, A, IF(test2, B, IF(test3, C, IF(test4, D, F)))), handling multiple conditions in sequence","10 criteria, 100 pts",80 pts,"Excel file with nested IF formula, all grade levels tested, formula breakdown screenshot, documentation (200 words on nested IF logic)",Excel Basics
155,🆕 NEW,Conditional Counting and Summing,"Sales manager analyzing performance: Count how many sales were >$1000 (high-value), sum only high-value sales total. Need both count and sum with conditions, not all rows.",None - create 50 sales transactions ranging $100-$5000,"COUNTIF(range, criteria), SUMIF(range, criteria, sum_range), conditional aggregation, text vs number criteria","9 criteria, 100 pts",75 pts,"Excel file with sales data, COUNTIF and SUMIF formulas, results screenshot showing both metrics, documentation (150 words)",Excel Basics
156,🆕 NEW,Category Average Analysis,"Product manager tracking performance by category (Electronics, Clothing, Home). Calculate average rating for Electronics products only, then Clothing, then Home. AVERAGEIF filters to specific category before averaging.",None - create 30 products with categories and ratings 1-5,"AVERAGEIF(range, criteria, average_range), conditional averaging, working with text criteria in quotes","8 criteria, 100 pts",75 pts,"Excel file with products, AVERAGEIF for each category, category averages screenshot, documentation (150 words)",Excel Basics
157,🆕 NEW,Name Standardization with Text Functions,"Customer database has inconsistent names: ""JOHN SMITH"", ""jane doe"", ""Mary Jones"". Need all names in Proper Case (First Letter Capitalized). Use UPPER, LOWER, PROPER to demonstrate different text transformations.",None - create 20 customer names in various cases,"UPPER(), LOWER(), PROPER() text functions, converting text case, cleaning data presentation","8 criteria, 100 pts",75 pts,"Excel file with messy names, all three case transformations demonstrated, before/after screenshot, documentation (150 words)",Excel Basics
158,🆕 NEW,Full Name Assembly from Parts,"HR database stores FirstName and LastName in separate columns. Need FullName column combining them with space between: ""John"" + "" "" + ""Smith"" = ""John Smith"". Use concatenation with & operator or CONCATENATE function.",None - create 25 employees with separate first/last names,"CONCATENATE(text1, text2, ...), & operator for joining text, combining text with spaces/separators","8 criteria, 100 pts",75 pts,"Excel file with name columns, concatenation formula (both methods), full names screenshot, documentation (150 words)",Excel Basics
159,🆕 NEW,Data Cleanup - Spaces and Length,"Imported data has extra spaces: ""  Product Name  "". Need to: (1) Remove leading/trailing spaces with TRIM, (2) Check length before/after with LEN to verify cleanup. Essential for data quality.",None - create 15 entries with intentional extra spaces,"TRIM() to remove spaces, LEN() or LENGTH() to count characters, data cleaning workflow","9 criteria, 100 pts",75 pts,"Excel file with dirty data, TRIM formulas, LEN before/after comparison, cleanup verification screenshot, documentation (150 words)",Excel Basics
160,🆕 NEW,Product Code Parsing,"Product codes formatted as ""CAT-TYPE-123"". Need to extract: Category (first 3 chars), Type (middle section), Number (last 3 chars). Use LEFT, RIGHT, MID functions to parse structured text.",None - create 20 product codes in CAT-TYPE-NNN format,"LEFT(text, num_chars), RIGHT(text, num_chars), MID(text, start, num_chars), text extraction from positions","10 criteria, 100 pts",80 pts,"Excel file with product codes, all three extraction formulas, parsed components screenshot, documentation (200 words)",Excel Basics
