#,Type,Scenario Name,Problem Summary,Prerequisites,Tool Features,Success Criteria,Min Pass,Deliverables,Chain/Category
401,🆕 NEW,Excel to SQL - Data Import Pipeline,Monthly sales data arrives in Excel file. Import into SQL database for centralized storage and querying. Build repeatable ETL workflow: Excel → export CSV → SQL LOAD DATA.,"None - create Excel sales file, have SQL database access","Excel export to CSV, SQL CREATE TABLE, LOAD DATA INFILE (MySQL) or COPY (PostgreSQL), data type mapping Excel→SQL","12 criteria, 100 pts",85 pts,"Excel file, SQL script (table creation + import), loaded database screenshot, workflow documentation (250 words)",Cross-Tool Integration - START
402,🆕 NEW,SQL to Excel - Query Results Export,"Complex SQL analysis complete. Business users need results in Excel for presentations. Export query results to CSV, open in Excel, format for stakeholders.",None - create SQL database with data,"SQL SELECT query, export to CSV (mysql -e ""query"" > file.csv or \copy in PostgreSQL), Excel import/formatting","10 criteria, 100 pts",80 pts,"SQL query script, exported CSV, formatted Excel file, documentation (200 words)",Cross-Tool Integration
403,🆕 NEW,Python to SQL - DataFrame Upload,Python analysis creates summary DataFrame. Load into SQL database for sharing with SQL users. df.to_sql() writes DataFrame directly to database.,"None - create Python DataFrame, have database access","pandas to_sql(), SQLAlchemy create_engine, if_exists parameter (replace/append), database connection strings","11 criteria, 100 pts",80 pts,"Jupyter notebook with to_sql code, SQL database with loaded data, documentation (200 words)",Cross-Tool Integration
404,🆕 NEW,SQL to Python - Database Query Analysis,Enterprise data in SQL database. Use Python for advanced analytics SQL can't do easily. pd.read_sql_query() pulls data into Python for analysis.,None - create SQL database,"pd.read_sql_query(), pd.read_sql_table(), SQLAlchemy connections, query optimization, large result handling","12 criteria, 100 pts",85 pts,"Jupyter notebook with database connection and analysis, SQL query, results, documentation (250 words)",Cross-Tool Integration
405,🆕 NEW,Excel to Power BI - Interactive Dashboard,"Excel sales data needs interactive dashboard. Import Excel into Power BI, create visuals with slicers. Self-service analytics for business users.",None - create Excel data file,"Power BI Get Data from Excel, data transformation, creating visuals, slicers, publishing","11 criteria, 100 pts",80 pts,"Excel source file, PBIX with dashboard, dashboard screenshot, documentation (200 words)",Cross-Tool Integration
406,🆕 NEW,SQL to Power BI - Direct Database Connection,Power BI connects directly to SQL database (live or import). Build dashboard querying production database. Real-time or scheduled refresh.,None - create SQL database,"Power BI DirectQuery vs Import, database connection, SQL query in Power Query, refresh scheduling","13 criteria, 100 pts",85 pts,"PBIX connected to database, dashboard with live data, connection settings screenshot, documentation (250 words)",Cross-Tool Integration
407,🆕 NEW,Python to Power BI - Python Script in Power Query,Complex data transformation in Python. Use Python script in Power BI Power Query to leverage pandas cleaning before visualization.,None - create messy data needing Python cleaning,"Power BI Python script step, pandas in Power Query, Python environment configuration, data output from Python","13 criteria, 100 pts",85 pts,"PBIX with Python script step, cleaned data, script screenshot, documentation (250 words)",Cross-Tool Integration
408,🆕 NEW,Power BI to Excel - Export Data,Power BI dashboard analysis complete. Stakeholder needs underlying data in Excel for ad-hoc analysis. Export visual data to Excel.,None - create Power BI dashboard,"Export data from Power BI visual, Analyze in Excel feature, downloading data from Service","9 criteria, 100 pts",75 pts,"PBIX file, exported Excel data, documentation (150 words)",Cross-Tool Integration
409,🆕 NEW,End-to-End Pipeline: SQL → Python → Excel,"Complete workflow: (1) Query SQL database, (2) Transform/analyze in Python, (3) Export summary to formatted Excel report. Three-tool integration.",None - create SQL database,"SQL query, pd.read_sql_query(), pandas analysis, openpyxl or xlsxwriter for formatted Excel output","15 criteria, 100 pts",90 pts,"SQL query script, Jupyter notebook with full pipeline, formatted Excel output, documentation (300 words)",Multi-Tool Pipeline
410,🆕 NEW,End-to-End Pipeline: Excel → Python → Power BI,"Monthly workflow: (1) Receive Excel data, (2) Clean/transform in Python, (3) Visualize in Power BI dashboard. Automated monthly refresh.",None - create Excel data,"Python data cleaning script, save cleaned data, Power BI import of cleaned data, refresh automation","14 criteria, 100 pts",90 pts,"Excel source, Python cleaning script, PBIX dashboard, full workflow documentation (300 words)",Multi-Tool Pipeline
411,🆕 NEW,Automated ETL Pipeline Script,"Daily automation: Python script extracts from API, transforms data, loads into SQL database. Scheduled cron/Task Scheduler execution.",None - identify accessible API,"Python requests for API, pandas transformation, SQLAlchemy to_sql, error handling, logging, scheduling","15 criteria, 100 pts",90 pts,"Python ETL script, SQL database with loaded data, scheduling configuration, documentation (300 words)",Automation
412,🆕 NEW,Multi-Source Power BI Dashboard,"Dashboard combining: SQL database (sales), Excel file (targets), API data (market data). Power BI integrates all three sources.",None - create three different data sources,"Multiple Get Data sources in Power BI, relationships across sources, composite models if needed","14 criteria, 100 pts",90 pts,"PBIX with three sources integrated, dashboard, data model screenshot, documentation (250 words)",Multi-Source Integration
413,🆕 NEW,Excel VBA + SQL Integration,Excel workbook with button: click to query SQL database and populate worksheet. VBA ADODB connection to execute SQL.,None - create Excel workbook and SQL database,"VBA ADODB, connection strings, SQL query execution from VBA, populating worksheet, error handling","13 criteria, 100 pts",85 pts,"Excel workbook with VBA code, database connection working, documentation (250 words)",Excel-SQL Integration
414,🆕 NEW,Python Automated Excel Report Generator,"Daily report: Python queries database, creates formatted Excel file with charts, emails to stakeholders. Fully automated reporting.",None - create database and email config,"Python openpyxl/xlsxwriter, chart creation in Excel, email automation (smtplib), scheduling","15 criteria, 100 pts",90 pts,"Python script generating Excel reports, sample generated report, email code, documentation (300 words)",Automation
415,🆕 NEW,SQL Stored Procedure + Power BI,Complex business logic in SQL stored procedure. Power BI calls procedure for optimized data prep. Database-side processing.,None - create SQL database,"SQL CREATE PROCEDURE, Power BI calling stored procedure, parameters, performance optimization","13 criteria, 100 pts",85 pts,"SQL procedure script, PBIX calling procedure, performance comparison, documentation (250 words)",Advanced Integration
416,🆕 NEW,Python ML Model → Excel Interface,"Train ML model in Python, save model. Excel worksheet: input new data, VBA calls Python script to score, displays predictions in Excel.",None - create trained model and Excel interface,"Python model training/saving, VBA Shell to call Python script, passing data to Python, returning predictions","16 criteria, 100 pts",95 pts,"Python model script, Excel with VBA integration, scoring working, documentation (350 words)",Advanced Integration
417,🆕 NEW,Real-Time Dashboard Pipeline,"Streaming data: Python script continuously fetches data, updates SQL database, Power BI dashboard auto-refreshes. Near real-time monitoring.",None - create streaming data source,"Python continuous loop/scheduler, incremental SQL updates, Power BI DirectQuery or streaming dataset","15 criteria, 100 pts",90 pts,"Python streaming script, SQL database, Power BI dashboard, real-time demo, documentation (300 words)",Real-Time Integration
418,🆕 NEW,Master Dashboard Project,"Executive dashboard from scratch: Design requirements, data modeling, ETL pipeline, interactive Power BI dashboard with drill-throughs, RLS, mobile layout.",None - define business scenario,"Requirements gathering, star schema design, ETL development, Power BI best practices, complete dashboard","20 criteria, 100 pts",95 pts,"Requirements doc, SQL schema, ETL scripts, complete PBIX dashboard, presentation, documentation (500+ words)",Capstone Project
419,🆕 NEW,Data Quality Framework Cross-Tool,"Data quality checks across all tools: SQL for constraints/validation, Python for statistical checks, Excel for manual review, Power BI for quality dashboard.",None - create data quality scenario,"SQL CHECK constraints, Python data profiling, Excel validation templates, Power BI quality metrics dashboard","16 criteria, 100 pts",90 pts,"SQL quality checks, Python profiling script, Excel templates, Power BI dashboard, documentation (300 words)",Data Quality
