#,Type,Scenario Name,Problem Summary,Prerequisites,Tool Features,Success Criteria,Min Pass,Deliverables,Chain/Category
301,🆕 NEW,Connect to Excel Data Source,"Sales manager has monthly sales data in Excel file. Import into Power BI to create interactive dashboard. Learn data import process, first step in Power BI workflow.","None - create sample Excel file with sales data (Date, Product, Region, Amount columns, 100+ rows)","Get Data, Excel connector, Navigator pane, Load vs Transform, table selection, data refresh","9 criteria, 100 pts",75 pts,"PBIX file with Excel data imported, Queries pane screenshot, documentation (150 words on data import)",Power BI Basics - START
302,🆕 NEW,Connect to CSV File,Marketing department exports campaign data as CSV. Import CSV into Power BI. Similar to Excel but handles plain text format. Common data source.,None - create CSV file with campaign data,"Get Data, Text/CSV connector, delimiter detection, data type inference, encoding options","8 criteria, 100 pts",75 pts,"PBIX file with CSV data loaded, data preview screenshot, documentation (150 words)",Power BI Basics
303,🔗 CONTINUES,Basic Data Transformations,"Imported sales data has issues: column headers in row 1, date format wrong, extra blank columns. Use Power Query Editor to: promote headers, change data types, remove columns. Clean data before analysis.",Assignment #301 (Excel data already imported),"Power Query Editor, Transform tab, Promote Headers, Change Type, Remove Columns, data cleaning workflow","11 criteria, 100 pts",80 pts,"PBIX file showing before/after transformations, Applied Steps pane screenshot, documentation (200 words)",Power BI Basics
304,🔗 CONTINUES,Create Calculated Column,Sales table has Revenue and Cost columns. Need Profit = Revenue - Cost calculated for each row. Create calculated column in Data view using DAX formula.,Assignment #301 (sales data with Revenue and Cost),"Calculated columns, Data view, DAX formula syntax, column creation, [ColumnName] references","9 criteria, 100 pts",75 pts,"PBIX file with Profit calculated column, formula bar screenshot, documentation (150 words on calculated columns)",Power BI Basics
305,🔗 CONTINUES,Create Simple Measure,Dashboard needs Total Sales displayed prominently. Create measure: Total Sales = SUM(Sales[Amount]). Measures aggregate across filtered data dynamically.,Assignment #301 (sales data),"Measures, DAX SUM function, measure vs calculated column, Fields pane, Σ symbol","9 criteria, 100 pts",75 pts,"PBIX file with Total Sales measure, measure formula screenshot, documentation (150 words on measures)",Power BI Basics
306,🔗 CONTINUES,Table Visual,"Sales report needs detailed data table showing: Product, Region, Sales Amount. Create Table visual displaying multiple columns with data.",Assignment #301 (sales data),"Table visual, dragging fields to Values, column reordering, formatting table, conditional formatting","8 criteria, 100 pts",75 pts,"PBIX file with table visual, detailed data display screenshot, documentation (100 words)",Power BI Visuals - START
307,🔗 CONTINUES,Matrix Visual,"Cross-tabulation needed: Regions as rows, Products as columns, Sales as values. Matrix visual creates pivot-like view. Similar to Excel pivot table.",Assignment #301 (sales data),"Matrix visual, Rows/Columns/Values areas, expand/collapse, subtotals, drill-down","10 criteria, 100 pts",80 pts,"PBIX file with matrix visual, cross-tab display screenshot, documentation (150 words)",Power BI Visuals
308,🔗 CONTINUES,Card Visual - KPI Display,Dashboard homepage needs Total Sales shown large and prominent. Card visual displays single number clearly. Perfect for key metrics.,Assignment #301 (sales data),"Card visual, data label formatting, background color, font size, category label","8 criteria, 100 pts",75 pts,"PBIX file with card visual showing Total Sales, large number display screenshot, documentation (100 words)",Power BI Visuals
309,🔗 CONTINUES,Column Chart - Category Comparison,Compare sales across product categories. Column chart shows each category as vertical bar. Easy visual comparison.,Assignment #301 (sales data with categories),"Clustered column chart, Axis/Legend/Values, sorting, data labels, colors","9 criteria, 100 pts",75 pts,"PBIX file with column chart, category comparison screenshot, documentation (150 words)",Power BI Visuals
310,🔗 CONTINUES,Line Chart - Trend Over Time,Monthly sales trend visualization. Line chart shows sales progression over time. Clear trend identification.,Assignment #301 (sales data with dates),"Line chart, date hierarchy (Year/Quarter/Month/Day), Axis/Values, trend display, date auto-hierarchy","10 criteria, 100 pts",80 pts,"PBIX file with line chart, monthly trend screenshot, date hierarchy visible, documentation (150 words)",Power BI Visuals
311,🔗 CONTINUES,Pie Chart - Market Share,"Product category market share visualization. Pie chart shows each category as slice, percentage of total.",Assignment #301 (sales data),"Pie chart, Legend/Values, data labels (percentage), slice colors, donut chart option","9 criteria, 100 pts",75 pts,"PBIX file with pie chart, market share display screenshot, documentation (100 words)",Power BI Visuals
312,🔗 CONTINUES,Slicer - Interactive Filtering,Dashboard needs Year filter. Slicer allows users to select year(s) interactively. All visuals filter together. Key dashboard interactivity.,Assignment #301 (sales data with dates),"Slicer visual, filter types (list, dropdown, slider, relative date), slicer formatting, multi-select","10 criteria, 100 pts",80 pts,"PBIX file with slicer, interactive filtering demo, all visuals responding screenshot, documentation (150 words)",Power BI Interactivity - START
313,🔗 CONTINUES,Visual-Level Filter,"Column chart showing all regions, but one chart should show only East region. Apply visual-level filter to single visual without affecting others.",Assignment #301 (sales data),"Filters pane, visual-level filters, filter types (Basic, Advanced, Top N), filter scope","9 criteria, 100 pts",75 pts,"PBIX file demonstrating visual-level filter, single visual filtered screenshot, documentation (150 words)",Power BI Interactivity
314,🔗 CONTINUES,Page-Level Filter,Sales report page should show only 2024 data. Page-level filter applies to all visuals on current page. Other pages unaffected.,Assignment #301 (multi-year sales data),"Filters pane, page-level filters, affecting all page visuals, page filter vs visual filter","9 criteria, 100 pts",75 pts,"PBIX file with page-level filter, entire page filtered screenshot, documentation (150 words)",Power BI Interactivity
315,🔗 CONTINUES,Report-Level Filter,Entire report should exclude test/demo data. Report-level filter (all pages filter) applies globally to every page and visual.,Assignment #301 (sales data with test records),"Filters pane, report-level filters (all pages), global filtering, filter priority hierarchy","9 criteria, 100 pts",75 pts,"PBIX file with report filter, multi-page filtering screenshot, documentation (150 words)",Power BI Interactivity
316,🔗 CONTINUES,Drill Down in Visuals,"Date hierarchy: Year → Quarter → Month → Day. Enable drill-down in column chart. Click year bar to see quarters, click quarter to see months. Hierarchical exploration.",Assignment #301 (sales with date data),"Drill down, drill up, drill-through, expand all, hierarchy navigation, drill mode icons","11 criteria, 100 pts",80 pts,"PBIX file with drill-down enabled, hierarchy navigation demo, documentation (200 words)",Power BI Interactivity
317,🔗 CONTINUES,Conditional Formatting - Background Colors,"Sales table: highlight high sales (>$10k) in green background, low sales (<$1k) in red. Conditional formatting draws attention to important values.",Assignment #301 (sales data),"Conditional formatting, background color rules, color scales, rules-based formatting, gradient vs rules","10 criteria, 100 pts",80 pts,"PBIX file with conditional formatting, color-coded table screenshot, documentation (150 words)",Power BI Formatting - START
318,🔗 CONTINUES,Tooltip Customization,"Hovering over chart shows default tooltip. Customize to show: Product Name, Total Sales, Units Sold. Add relevant fields to tooltip for better context.",Assignment #301 (sales data),"Tooltips field well, custom tooltips, tooltip page creation (advanced), formatting tooltips","9 criteria, 100 pts",75 pts,"PBIX file with customized tooltips, hover display screenshot, documentation (150 words)",Power BI Formatting
319,🔗 CONTINUES,Publish to Power BI Service,Report ready for sharing. Publish to Power BI Service (cloud). Team members can access via web browser. Sharing and collaboration.,Assignment #301 (completed report),"Publish button, Power BI Service, workspace selection, published report URL, viewing in browser","10 criteria, 100 pts",80 pts,"PBIX file published, Power BI Service screenshot, published report URL, documentation (200 words on publish process)",Power BI Sharing - START
320,🔗 CONTINUES,Schedule Data Refresh,Published report shows stale data. Configure scheduled refresh: daily at 6 AM. Data gateway setup (if needed). Automated data updates.,Assignment #319 (published report),"Scheduled refresh, dataset settings, refresh frequency, gateway configuration, credentials","11 criteria, 100 pts",80 pts,"Power BI Service settings screenshot, refresh schedule configuration, documentation (200 words on refresh)",Power BI Sharing
321,🆕 NEW,Create Relationships Between Tables,"Two tables: Sales (ProductID, Amount, Date) and Products (ProductID, ProductName, Category). Create relationship on ProductID. Enables using Product info in Sales analysis.",None - create two related tables,"Model view, creating relationships, cardinality (1:many, many:1), relationship properties, active vs inactive relationships","12 criteria, 100 pts",85 pts,"PBIX file with relationship defined, Model view screenshot, relationship properties, documentation (250 words)",Power BI Data Modeling - START
