#,Type,Scenario Name,Problem Summary,Prerequisites,Tool Features,Success Criteria,Min Pass,Deliverables,Chain/Category
351,🆕 NEW,Python Environment Setup,"Data analyst starting with Python. Install Python, Jupyter Notebook/Lab, essential libraries (pandas, numpy, matplotlib). Verify installation, run first Python commands. Foundation for all Python work.",None - fresh Python installation,"Python installation, pip, Jupyter Notebook/Lab, conda/venv, import statements, print(), basic Python syntax","10 criteria, 100 pts",80 pts,"Jupyter notebook with successful imports, version checks, ""Hello World"" output, installation documentation (200 words)",Python Basics - START
352,🆕 NEW,Load CSV with Pandas,Sales data in CSV file. Use pandas to load into DataFrame for analysis. First step in Python data workflow - getting data in.,None - create sample sales CSV file,"pandas, pd.read_csv(), DataFrame basics, .head(), .info(), .describe(), file paths","10 criteria, 100 pts",80 pts,"Jupyter notebook loading CSV, DataFrame displayed, data exploration commands, documentation (150 words)",Python Pandas - START
353,🔗 CONTINUES,Data Exploration Basics,"Loaded DataFrame needs inspection. Use .head() (first rows), .tail() (last rows), .info() (data types, nulls), .describe() (statistics), .shape (dimensions). Understanding your data.",Assignment #352 (loaded DataFrame),".head(), .tail(), .info(), .describe(), .shape, .columns, .dtypes, data exploration methods","10 criteria, 100 pts",80 pts,"Jupyter notebook with all exploration commands, outputs displayed, documentation (150 words)",Python Pandas
354,🔗 CONTINUES,Filter Rows with Boolean Indexing,"Sales DataFrame: need only high-value sales (>$1000). Boolean indexing: df[df[""Amount""] > 1000] creates filtered subset. Like SQL WHERE.",Assignment #352 (sales DataFrame),"Boolean indexing, comparison operators, df[condition], combining conditions with & and |, .loc[]","11 criteria, 100 pts",80 pts,"Jupyter notebook with filtering examples, filtered DataFrames, documentation (200 words)",Python Pandas
355,🔗 CONTINUES,Select Specific Columns,"Large DataFrame with 20 columns, need only Name, Date, Amount. Column selection: df[[""Name"", ""Date"", ""Amount""]] creates subset DataFrame.",Assignment #352 (DataFrame),"Column selection, single column (Series), multiple columns (DataFrame), .loc for rows and columns","9 criteria, 100 pts",75 pts,"Jupyter notebook with column selection, subset DataFrames, documentation (150 words)",Python Pandas
356,🔗 CONTINUES,Sort Data,"Sort sales by Amount descending (highest first), then by Date ascending. sort_values() handles sorting with multiple keys.",Assignment #352 (sales DataFrame),".sort_values(), by parameter, ascending parameter, inplace parameter, multi-column sorting","10 criteria, 100 pts",80 pts,"Jupyter notebook with sorting examples, sorted DataFrames, documentation (150 words)",Python Pandas
357,🔗 CONTINUES,Handle Missing Values,"Dataset has NaN (missing values). Options: drop rows with .dropna(), fill with .fillna(value), check with .isnull(). Data cleaning essential.",Assignment #352 (create data with missing values),".isnull(), .notnull(), .dropna(), .fillna(), missing value strategies, axis parameter","11 criteria, 100 pts",80 pts,"Jupyter notebook showing missing value handling, before/after comparison, documentation (200 words)",Python Pandas
358,🔗 CONTINUES,Group By and Aggregate,"Sales by product category. df.groupby(""Category"")[""Sales""].sum() aggregates. Like SQL GROUP BY. Powerful analysis tool.",Assignment #352 (sales with categories),".groupby(), aggregation functions (sum, mean, count, min, max), .agg(), multiple aggregations","12 criteria, 100 pts",85 pts,"Jupyter notebook with groupby examples, aggregated results, documentation (200 words)",Python Pandas
359,🔗 CONTINUES,Create New Calculated Column,"DataFrame has Revenue and Cost. Add Profit column: df[""Profit""] = df[""Revenue""] - df[""Cost""]. Calculated fields.",Assignment #352 (DataFrame with numeric columns),"Creating columns, arithmetic operations, df[""new_col""] = expression, vectorized operations","9 criteria, 100 pts",75 pts,"Jupyter notebook with new column creation, calculations shown, documentation (150 words)",Python Pandas
360,🔗 CONTINUES,Basic Plotting with Pandas,"Visualize sales trend over time. df[""Sales""].plot() creates line chart. Quick visualization from DataFrame.",Assignment #352 (time series data),".plot(), plot types (line, bar, scatter, hist), matplotlib integration, basic customization","10 criteria, 100 pts",80 pts,"Jupyter notebook with plots displayed, various chart types, documentation (150 words)",Python Visualization - START
