#,Type,Scenario Name,Problem Summary,Prerequisites,Tool Features,Success Criteria,Min Pass,Deliverables,Chain/Category
111,🔗 CONTINUES,Employee Cohort Retention Analysis,"GlobalTech HR analyzing employee retention by hiring cohort. For each hire month, calculate: Month 0 (hired), Month 1 (% still employed after 1 month), Month 3, Month 6, Month 12, Month 24. Identify cohorts with poor retention for hiring process improvements.",Assignment #1 (employees with hire_date and termination_date or is_active),"Cohort analysis, retention calculation, time-based grouping, DATE_TRUNC or DATE_FORMAT for cohorts, DATEDIFF for tenure, percentage calculations, pivot-like reporting","14 criteria, 100 pts",85 pts,"SQL script (cohort retention query), retention table screenshot showing cohorts × months, visualization-ready output, documentation (300 words on cohort analysis)",Employee Chain: #1→#4→#10→#21→#24→#51→#111 (CHAIN END)
112,🔗 CONTINUES,E-Shop RFM Customer Segmentation,"Marketing segmenting customers using RFM model for personalized campaigns. Calculate for each customer: Recency (days since last order), Frequency (total order count), Monetary (total lifetime spending). Score each dimension 1-5 (quintiles). Segment: 555=Champions, 155=At-Risk, 111=Lost.","Assignment #3 (customers, orders with dates and totals)","RFM analysis, customer segmentation, NTILE for quintile scoring, CASE WHEN for segment assignment, multiple dimension scoring, marketing analytics","15 criteria, 100 pts",85 pts,"SQL script (RFM calculation and scoring), RFM segments distribution screenshot, customer segments table, documentation (300 words explaining RFM)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
113,🔗 CONTINUES,E-Shop Conversion Funnel Analysis,"E-commerce Director analyzing conversion funnel: (1) 10,000 visitors, (2) 3,000 add to cart (30%), (3) 1,200 reach checkout (12%), (4) 900 complete purchase (9%). Calculate dropoff % at each stage. Identify biggest leak for A/B testing focus.","Assignment #3 + create events table (visitor_id, event_type, timestamp)","Funnel analysis, conversion rate calculation, stage-by-stage dropoff, CTE for funnel stages, percentage calculations, e-commerce metrics","13 criteria, 100 pts",85 pts,"SQL script (funnel query with CTEs), funnel metrics table screenshot, dropoff analysis, documentation (250 words on funnel optimization)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
114,🔗 CONTINUES,Market Basket Analysis - Product Pairs,"RetailMart discovering products frequently bought together for cross-sell opportunities. Calculate for each product pair: (1) Support (% orders containing both), (2) Confidence (if buy A, % also buy B), (3) Lift (actual vs expected co-occurrence). Find top 20 pairs with lift >1.5.",Assignment #2 (products) + Assignment #3 (order_items),"Market basket analysis, association rules, self-JOIN for product pairs, support/confidence/lift calculations, recommendation algorithms","16 criteria, 100 pts",90 pts,"SQL script (product pairs analysis), top 20 pairs table screenshot with metrics, cross-sell recommendations, documentation (300 words on market basket)",Product Chain: #2→#6→#9→#14→#25→#114 (CHAIN END)
115,🆕 NEW,Time Series Decomposition - Trend/Seasonal/Random,"Retail sales analytics team separating sales components: (1) Trend (12-month moving average), (2) Seasonal index (each month vs annual average), (3) Random/residual (actual - trend - seasonal). Understand underlying patterns vs noise.",None - create daily_sales table with 2+ years of data,"Time series decomposition, moving averages for trend, seasonal indexing, residual calculation, window functions for time series","14 criteria, 100 pts",85 pts,"SQL script (decomposition queries), trend/seasonal/random components table screenshot, seasonal index by month, documentation (300 words)",STANDALONE - Time series analysis
116,🆕 NEW,Distribution Analysis - Key Percentiles,"Sales compensation team designing commission tiers based on performance distribution. Calculate percentiles: P25 (bottom 25%), P50 (median), P75 (top 25%), P90 (top 10%), P95 (top 5%), P99 (top 1%). Understand performance spread.",None - create sales_performance table with rep_id and monthly_sales,"Percentile calculation, PERCENTILE_CONT, PERCENTILE_DISC, distribution analysis, ntile vs percentile_cont, understanding data spread","11 criteria, 100 pts",80 pts,"SQL script (percentile calculations), percentile distribution table screenshot, performance tiers visualization-ready, documentation (200 words)",STANDALONE - Statistical percentiles
117,🆕 NEW,Time Series Gap Filling,"IoT sensor data has missing dates (sensors offline). Analytics dashboard requires complete date series with no gaps. Generate all dates in range, LEFT JOIN actual data, fill missing values with: (1) 0 for counters, (2) Previous value (carry-forward) for gauges.",None - create sensor_readings table with gaps in dates,"Date series generation, generate_series (PostgreSQL) or recursive CTE, LEFT JOIN for gap filling, COALESCE with LAG for carry-forward, complete time series","13 criteria, 100 pts",85 pts,"SQL script (date generation, gap filling), complete series screenshot showing filled gaps, documentation (250 words on gap filling strategies)",STANDALONE - Time series gap filling
118,🆕 NEW,Sessionization - Clickstream Analysis,"Website analytics: group user clicks into sessions. Session = continuous activity, ends after 30 minutes of inactivity. Use LAG to check time since previous click. If >30min, new session. Assign session_id to each click for analytics.","None - create clickstream table (user_id, page_url, timestamp)","Sessionization logic, LAG for time gaps, CASE WHEN for session breaks, SUM() OVER for session numbering, clickstream analysis","14 criteria, 100 pts",85 pts,"SQL script (sessionization query), clicks with session_id screenshot, session duration analysis, documentation (250 words)",STANDALONE - Session identification
119,🔗 CONTINUES,Customer Lifetime Value (LTV) Calculation,"E-Shop CFO forecasting revenue. Calculate LTV per customer: (1) Historical: total spent to date, (2) Projected: average order value × predicted future orders (based on purchase frequency), (3) Discounted: apply 10% annual discount rate for NPV.","Assignment #3 (customers, orders with full history)","LTV calculation, historical revenue, predictive metrics (order frequency, recency), NPV with discount rate, customer value modeling","15 criteria, 100 pts",85 pts,"SQL script (LTV calculation with historical and projected), customer LTV ranking screenshot, high-value customers report, documentation (300 words on LTV)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119 (CHAIN END)
120,🆕 NEW,Churn Prediction Feature Engineering,"SaaS company building churn prediction ML model. SQL creates features for each customer: (1) days_since_last_login, (2) login_frequency_30d, (3) feature_usage_count, (4) support_tickets_count, (5) billing_issues (boolean), (6) tenure_days. Output: CSV for ML.","None - create users, logins, usage_events, support_tickets tables","Feature engineering for ML, calculating behavioral metrics, recency/frequency metrics, aggregate features, preparing ML datasets in SQL","14 criteria, 100 pts",85 pts,"SQL script (feature calculation query), features table screenshot with 6+ columns, CSV export statement, documentation (250 words on feature engineering)",STANDALONE - ML feature preparation
