#,Type,Scenario Name,Problem Summary,Prerequisites,Tool Features,Success Criteria,Min Pass,Deliverables,Chain/Category
51,🔗 CONTINUES,Employee Dept Average Comparison,GlobalTech performance reviews need each employee shown with their salary AND their department's average salary for comparison. HR wants to identify employees above/below dept average.,Assignment #1 (employees table),"Correlated subquery, subquery in SELECT list, outer query reference, comparing to aggregates","10 criteria, 100 pts",80 pts,"SQL script with correlated subquery, comparison results screenshot, documentation explaining correlated vs non-correlated",Employee Chain: #1→#4→#10→#21→#24→#51→#111
52,🆕 NEW,EXISTS vs IN Performance Comparison,"Database with 50,000 customers and 200,000 orders. Find all customers who placed orders. Compare WHERE EXISTS vs WHERE IN performance with EXPLAIN ANALYZE. Marketing needs fastest query for daily reports.",None - create large sample dataset,"EXISTS operator, NOT EXISTS, IN with subquery, correlated vs non-correlated subqueries, EXPLAIN ANALYZE, query performance comparison","12 criteria, 100 pts",80 pts,"SQL script (table creation, both query approaches), EXPLAIN ANALYZE screenshots for both, performance comparison table, documentation",STANDALONE - Subquery performance techniques
53,🔗 CONTINUES,Customers Who Never Ordered,"E-Shop marketing running ""We Miss You"" campaign targeting customers who registered but NEVER placed any orders. Need complete list with registration dates to personalize emails based on how long they've been inactive.",Assignment #3 (customers and orders tables),"NOT EXISTS, anti-join pattern, correlated NOT EXISTS, finding unmatched records, date calculations","9 criteria, 100 pts",75 pts,"SQL script with NOT EXISTS query, never-ordered customers list screenshot, documentation comparing NOT EXISTS vs LEFT JOIN WHERE NULL",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
54,🆕 NEW,Derived Tables - Pre-Aggregated Analysis,"Sales Director needs to query already-aggregated data. First calculate average price per category, then find categories where average is >$100. Treat aggregated results as a ""virtual table"" for further querying.",None - create products/sales table,"Derived tables, subquery in FROM clause, inline views, querying aggregated results, nested queries","10 criteria, 100 pts",80 pts,"SQL script with derived table examples, query results screenshot, documentation explaining derived tables vs CTEs",STANDALONE - Derived table techniques
55,🔗 CONTINUES,CTE for Complex Dashboard Metrics,"E-Shop executive dashboard needs: (1) Total revenue by month, (2) Total costs by month, (3) Profit margin calculation. CFO wants readable query that's easy to modify. Use CTEs instead of nested subqueries for clarity.",Assignment #3 (orders table) + create costs table,"WITH clause, Common Table Expressions (CTE), multiple CTEs in one query, CTE referencing, readable complex queries","11 criteria, 100 pts",80 pts,"SQL script with multiple CTEs, dashboard results screenshot, documentation comparing CTEs to subqueries/derived tables",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
56,🔗 CONTINUES,Recursive CTE - Organization Hierarchy,"GlobalTech needs complete org chart showing CEO at top, all managers, and every employee reporting up the chain. Some employees are 5+ levels deep. Build full hierarchy using recursive CTE to traverse manager_id relationships.",Assignment #1 (employees with manager_id),"WITH RECURSIVE, recursive CTE, hierarchical queries, tree traversal, recursion termination, depth/level tracking","13 criteria, 100 pts",85 pts,"SQL script with recursive CTE, org hierarchy screenshot showing all levels, documentation explaining recursion logic",Employee Chain: #1→#4→#10→#21→#24→#51→#111
57,🆕 NEW,Multiple CTE Combination for Analytics,"SaaS company dashboard combining: (1) Monthly Recurring Revenue (MRR), (2) Customer Acquisition Cost (CAC), (3) Churn Rate, (4) LTV:CAC ratio. Each metric calculated in separate CTE, then combined for executive summary.","None - create subscriptions, customers, marketing_costs tables","Multiple CTEs, CTE joining, complex WITH queries, combining multiple analyses, business metrics calculation","14 criteria, 100 pts",85 pts,"SQL script with 4+ CTEs joined, dashboard results screenshot, documentation explaining business metrics",STANDALONE - Multi-CTE business analytics
58,🆕 NEW,LATERAL JOIN - Top N per Group,RetailMart needs top 3 best-selling products PER category (not overall top 3). Traditional GROUP BY won't work. Use LATERAL join (PostgreSQL) or CROSS APPLY (SQL Server) to get top N within each group.,None - create categories and products with sales data,"LATERAL join (PostgreSQL), CROSS APPLY (SQL Server), correlated lateral joins, top N per group pattern","11 criteria, 100 pts",80 pts,"SQL script with LATERAL/CROSS APPLY, top 3 per category screenshot, documentation explaining LATERAL vs regular JOIN",STANDALONE - LATERAL join technique
59,🆕 NEW,FULL OUTER JOIN - Data Reconciliation,"Two systems merged: System A (old CRM) and System B (new CRM). Find: (1) customers only in A, (2) customers only in B, (3) customers in both with mismatched data. Compliance audit requires complete reconciliation.",None - create two customer tables with overlapping/different data,"FULL OUTER JOIN, data reconciliation, finding discrepancies, COALESCE for combining columns, identifying unmatched records","12 criteria, 100 pts",80 pts,"SQL script with FULL OUTER JOIN, reconciliation report screenshot showing all 3 categories, documentation",STANDALONE - Data reconciliation pattern
60,🔗 CONTINUES,Complex 5+ Table Analysis,"Sales analytics report joining: customers→orders→order_items→products→categories→regions. Show: customer name, region, category, product, revenue. Filter to top-selling categories, optimize for performance.","Assignment #3 + create additional tables (categories, regions)","Complex multi-table JOINs, 5+ table queries, join order optimization, query performance, filtering joined data","13 criteria, 100 pts",85 pts,"SQL script with 5+ table JOIN, results screenshot, EXPLAIN screenshot, documentation on join optimization",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
