#,Type,Scenario Name,Problem Summary,Prerequisites,Tool Features,Success Criteria,Min Pass,Deliverables,Chain/Category
1,🆕 NEW,GlobalTech HR System - Employee Database,"GlobalTech Industries, 200+ employee tech company, transitioning from paper HR records to digital. HR Director Sarah Chen needs database tracking: personal details, departments, salaries, hire dates, manager relationships. CFO requires USD salary format, Legal mandates hire date tracking for compliance.",None,"CREATE TABLE, PRIMARY KEY, FOREIGN KEY (self-referencing), AUTO_INCREMENT, INSERT, SELECT, NOT NULL, UNIQUE, DEFAULT, data types (INTEGER, VARCHAR, DECIMAL, DATE, BOOLEAN)","13 criteria, 100 pts",80 pts,"SQL script (CREATE TABLE, INSERT 20+ employees, verification queries), table structure screenshot, SELECT * screenshot, documentation (200 words)",Employee Chain START → #1→#4→#10→#21→#24→#51→#111
2,🆕 NEW,RetailMart Inventory System,"RetailMart regional retail chain, 15 stores, 500+ SKUs. Operations Manager David Martinez overwhelmed with Excel tracking. CEO approved digital transformation. Need database tracking: SKU, category (Electronics/Clothing/Home Goods), prices, stock quantities, reorder levels, suppliers. Finance requires non-negative prices, Warehouse Manager insists no negative inventory.",None,"CREATE TABLE, CHECK constraints, IN operator in CHECK, DEFAULT with functions (CURRENT_DATE, CURRENT_TIMESTAMP), ON UPDATE CURRENT_TIMESTAMP, TEXT vs VARCHAR, constraint naming","13 criteria, 100 pts",80 pts,"SQL script (CREATE TABLE, INSERT 30+ products), constraint error screenshots, low-stock query screenshot, documentation (250 words)",Product Chain START → #2→#6→#9→#14→#25→#114
3,🆕 NEW,E-Shop Order Management Schema,"E-Shop online platform processes 100+ orders daily. Customer Service Manager Lisa Thompson reports 10-15 minute delays cross-referencing spreadsheets. IT Director needs relational database: customers table, orders table (with customer FK), order_items table (with order FK, CASCADE delete). CFO requires automatic cascade deletion of line items when orders deleted.",None,"Multi-table schema design, FOREIGN KEY relationships (one-to-many), ON DELETE CASCADE, ON UPDATE CASCADE, CHECK constraints on multiple tables, relationship integrity, INNER JOIN, LEFT JOIN basics","13 criteria, 100 pts",80 pts,"SQL scripts (3 CREATE TABLEs, INSERT 25 customers/40 orders/80+ items), relationship diagram screenshot, CASCADE deletion demo, multi-table JOIN screenshot, documentation (300 words)",Order Chain START → #3→#5→#11→#22→#23→#112→#113→#119
4,🔗 CONTINUES,GlobalTech High-Earner Analysis,"HR Director Sarah needs employees earning >$80k for leadership training program. CFO approved program for high-value positions only. Generate reports: (1) all high earners sorted highest-to-lowest, (2) calculate total program cost, (3) Engineering dept high earners separately for retention bonus consideration.",Assignment #1 (employees table must exist),"WHERE clause, comparison operators (>, >=, <, <=, =, !=), ORDER BY DESC/ASC, AND operator for compound conditions, column aliases with AS, calculated fields (arithmetic in SELECT)","9 criteria, 100 pts",75 pts,"SQL script (8 queries from tasks), sorted high-earner screenshot, Engineering-only screenshot, documentation (150 words on > vs >=, ORDER BY importance)",Employee Chain: #1→#4→#10→#21→#24→#51→#111
5,🔗 CONTINUES,E-Shop Monthly Sales Report,"CFO needs monthly sales trends for board meeting tomorrow. Finance department requires: last 30 days order summary showing order counts, total revenue, average order values. Must be date-filtered correctly for accurate board presentation.",Assignment #3 (orders table must exist),"Date filtering, DATE functions (CURRENT_DATE, DATE_SUB/DATEADD, DATEDIFF), WHERE with date comparisons, BETWEEN for date ranges, date arithmetic","10 criteria, 100 pts",75 pts,"SQL script (30-day queries), monthly report screenshot, documentation (150 words on date filtering techniques)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
6,🔗 CONTINUES,RetailMart Multi-Category Product Search,"Store managers preparing for weekend sale need quick product lookup across Electronics, Computers, and Accessories categories simultaneously. Current system requires running 3 separate queries or writing tedious OR statements. Need efficient single-query solution.",Assignment #2 (products table must exist),"IN operator, WHERE with value lists, NOT IN for exclusion, combining IN with other WHERE conditions, multiple value matching","8 criteria, 100 pts",75 pts,"SQL script (IN queries), multi-category results screenshot, documentation (100 words on IN vs multiple ORs)",Product Chain: #2→#6→#9→#14→#25→#114
7,🆕 NEW,TechSales CRM - Customer Name Search,"TechSales Inc sales team launching targeted ""Smith Family"" campaign. Need to find ALL customers with ""Smith"" anywhere in first or last name. Current exact-match system misses variations like Smithson, Smithfield, Blacksmith. Pattern matching required.",None - create customers table with 30+ varied names,"LIKE operator, wildcards (% for any characters, _ for single character), case-insensitive search with UPPER/LOWER, pattern matching, combining LIKE with OR","10 criteria, 100 pts",75 pts,"SQL script (CREATE TABLE, INSERT 30 customers with name variations, LIKE queries), pattern matching screenshots, documentation (150 words)",STANDALONE - Pattern matching demonstration
8,🆕 NEW,DigitalCorp Data Quality Audit,DigitalCorp Marketing discovered 15% of customer database lacks email OR phone contact info. Compliance team preparing for GDPR audit next month needs complete report of ALL incomplete records for immediate cleanup campaign. Missing contacts = compliance violation.,None - create customers table with intentional NULL values,"IS NULL, IS NOT NULL, OR operator, NULL handling in WHERE, COALESCE for NULL replacement, IFNULL/ISNULL (MySQL/SQL Server), counting NULLs","12 criteria, 100 pts",75 pts,"SQL script (CREATE TABLE with NULLs, NULL-finding queries, COALESCE examples), incomplete records report screenshot, documentation (200 words on NULL handling)",STANDALONE - NULL value handling techniques
9,🔗 CONTINUES,RetailMart Mid-Range Price Analysis,"RetailMart targeting mid-market customers with ""value products"" promotion. Need all products priced $50-$200 (inclusive boundaries). Marketing wants count by category and products sorted by price for promotional materials.",Assignment #2 (products table must exist),"BETWEEN operator (inclusive ranges), range queries, combining BETWEEN with other WHERE conditions, understanding boundary inclusion","8 criteria, 100 pts",75 pts,"SQL script (BETWEEN queries), price range results screenshot, documentation (100 words on BETWEEN vs >= AND <=)",Product Chain: #2→#6→#9→#14→#25→#114
10,🔗 CONTINUES,GlobalTech Hierarchical Department Sorting,"HR creating printed org chart for company all-hands meeting. Need employee list sorted: (1) department alphabetically, (2) within each department, salary descending (highest to lowest). CFO wants to see highest earners first within each dept.",Assignment #1 (employees table must exist),"ORDER BY with multiple columns, primary and secondary sort, ASC and DESC combinations, hierarchical sorting","7 criteria, 100 pts",75 pts,"SQL script (multi-column ORDER BY), hierarchical sort screenshot, documentation (100 words on sort order)",Employee Chain: #1→#4→#10→#21→#24→#51→#111
11,🔗 CONTINUES,E-Shop Sales Dashboard Metrics,"Executive dashboard homepage displays key metrics CEO checks every morning: (1) Total number of orders, (2) Total revenue (sum of all order totals), (3) Average order value. Need all three metrics calculated in single query with clear labels.",Assignment #3 (orders table must exist),"COUNT(*) for row counting, SUM() for totals, AVG() for averages, column aliases for clarity, multiple aggregates in one query","9 criteria, 100 pts",75 pts,"SQL script (aggregate query), dashboard metrics screenshot, documentation (100 words on aggregate functions)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
12,🔗 CONTINUES,RetailMart Revenue by Category,"Finance Director needs quarterly earnings report showing total revenue broken down by product category (Electronics, Clothing, Home Goods). Board wants to see which categories performing best. Sort by revenue highest to lowest.",Assignment #2 (products table must exist) - add revenue/sales data,"GROUP BY basics, SUM() with grouping, aggregating by category, sorting grouped results with ORDER BY","8 criteria, 100 pts",75 pts,"SQL script (GROUP BY query), category revenue screenshot, documentation (100 words on GROUP BY)",Product Chain: #2→#6→#9→#14→#25→#114
13,🔗 CONTINUES,GlobalTech High-Performing Departments,"CFO allocating additional budget for team expansion. Only departments with average salary >$70,000 qualify (high-performing teams). Need list of qualifying departments with their average salaries sorted by average.",Assignment #1 (employees table must exist),"HAVING clause for filtering grouped results, AVG() with GROUP BY, HAVING vs WHERE difference, filtering aggregates","9 criteria, 100 pts",75 pts,"SQL script (GROUP BY with HAVING), qualifying departments screenshot, documentation (150 words on HAVING vs WHERE)",Employee Chain: #1→#4→#10→#21→#24→#51→#111
